episode,step,reward
0,1,0.446717
0,2,0.549802
0,3,0.439972
0,4,0.449648
0,5,0.451904
0,6,0.458737
0,7,0.499727
0,8,0.478955
0,9,0.481296
0,10,0.432157
0,11,0.461010
0,12,0.503119
0,13,0.463163
0,14,0.498171
0,15,0.479866
1,1,0.519457
1,2,0.513670
1,3,0.445859
1,4,0.532282
1,5,0.510703
1,6,0.491510
1,7,0.491126
1,8,0.507906
1,9,0.449081
1,10,0.470881
1,11,0.457471
1,12,0.477422
1,13,0.460530
1,14,0.479113
1,15,0.522042
2,1,0.502562
2,2,0.454883
2,3,0.440956
2,4,0.434589
2,5,0.341216
2,6,0.467593
2,7,0.474252
2,8,0.467131
2,9,0.450032
2,10,0.465536
2,11,0.471432
2,12,0.464977
2,13,0.476674
2,14,0.474204
2,15,0.481267
3,1,0.505240
3,2,0.513268
3,3,0.444460
3,4,0.471939
3,5,0.435590
3,6,0.471990
3,7,0.469809
3,8,0.459056
3,9,0.483295
3,10,0.504584
3,11,0.494206
3,12,0.451461
3,13,0.448528
3,14,0.461904
3,15,0.468511
4,1,0.506369
4,2,0.476677
4,3,0.453170
4,4,0.482886
4,5,0.441715
4,6,0.485448
4,7,0.480229
4,8,0.532282
4,9,0.460160
4,10,0.500690
4,11,0.476174
4,12,0.444326
4,13,0.405085
4,14,0.405085
4,15,0.454984
5,1,0.473179
5,2,0.436831
5,3,0.467697
5,4,0.472279
5,5,0.456069
5,6,0.486555
5,7,0.549442
5,8,0.474969
5,9,0.475674
5,10,0.492999
5,11,0.501433
5,12,0.533703
5,13,0.440310
5,14,0.481434
5,15,0.411744
6,1,0.462825
6,2,0.426345
6,3,0.429346
6,4,0.489513
6,5,0.500261
6,6,0.505635
6,7,0.574110
6,8,0.495465
6,9,0.513402
6,10,0.434589
6,11,0.478580
6,12,0.524425
6,13,0.539253
6,14,0.537251
6,15,0.447235
7,1,0.465175
7,2,0.477826
7,3,0.477706
7,4,0.433755
7,5,0.493446
7,6,0.495341
7,7,0.565475
7,8,0.529575
7,9,0.500261
7,10,0.543649
7,11,0.497026
7,12,0.454369
7,13,0.477706
7,14,0.537504
7,15,0.517155
8,1,0.491288
8,2,0.533824
8,3,0.576567
8,4,0.477926
8,5,0.458338
8,6,0.489873
8,7,0.549014
8,8,0.456188
8,9,0.467561
8,10,0.494256
8,11,0.523217
8,12,0.482304
8,13,0.469783
8,14,0.454104
8,15,0.503257
9,1,0.539797
9,2,0.517068
9,3,0.459058
9,4,0.202543
9,5,0.000000
9,6,0.520477
9,7,0.483527
9,8,0.495545
9,9,0.543019
9,10,0.528681
9,11,0.472171
9,12,0.396328
9,13,0.537742
9,14,0.459310
9,15,0.411744
10,1,0.439245
10,2,0.543383
10,3,0.469320
10,4,0.479252
10,5,0.535561
10,6,0.553196
10,7,0.464131
10,8,0.447546
10,9,0.506552
10,10,0.494600
10,11,0.490938
10,12,0.529465
10,13,0.459067
10,14,0.506822
10,15,0.522850
11,1,0.533032
11,2,0.445859
11,3,0.535135
11,4,0.526467
11,5,0.455454
11,6,0.422433
11,7,0.304613
11,8,0.527474
11,9,0.495783
11,10,0.445859
11,11,0.506369
11,12,0.471292
11,13,0.479551
11,14,0.446928
11,15,0.499029
12,1,0.473797
12,2,0.541495
12,3,0.522271
12,4,0.521767
12,5,0.504352
12,6,0.520497
12,7,0.397650
12,8,0.468327
12,9,0.582009
12,10,0.553393
12,11,0.530714
12,12,0.452359
12,13,0.511428
12,14,0.524886
12,15,0.435089
13,1,0.501076
13,2,0.489315
13,3,0.527474
13,4,0.217294
13,5,0.484456
13,6,0.514648
13,7,0.380913
13,8,0.519583
13,9,0.505365
13,10,0.530367
13,11,0.554567
13,12,0.535167
13,13,0.574110
13,14,0.467489
13,15,0.458539
14,1,0.498123
14,2,0.000000
14,3,0.434589
14,4,0.486041
14,5,0.542640
14,6,0.457919
14,7,0.479266
14,8,0.434589
14,9,0.507516
14,10,0.460594
14,11,0.453878
14,12,0.503956
14,13,0.501465
14,14,0.468892
14,15,0.436262
15,1,0.585922
15,2,0.467457
15,3,0.481027
15,4,0.470284
15,5,0.202543
15,6,0.456857
15,7,0.504352
15,8,0.501733
15,9,0.459058
15,10,0.514275
15,11,0.458625
15,12,0.465714
15,13,0.452393
15,14,0.444884
15,15,0.464966
16,1,0.575785
16,2,0.520477
16,3,0.530997
16,4,0.516929
16,5,0.354125
16,6,0.574110
16,7,0.498577
16,8,0.506085
16,9,0.459687
16,10,0.483763
16,11,0.434589
16,12,0.512446
16,13,0.520893
16,14,0.530367
16,15,0.457081
17,1,0.442868
17,2,0.458791
17,3,0.485783
17,4,0.486520
17,5,0.517068
17,6,0.462792
17,7,0.540774
17,8,0.458678
17,9,0.485251
17,10,0.469856
17,11,0.456857
17,12,0.496018
17,13,0.574110
17,14,0.488542
17,15,0.537878
18,1,0.553196
18,2,0.508753
18,3,0.465280
18,4,0.515668
18,5,0.547172
18,6,0.475950
18,7,0.312904
18,8,0.535561
18,9,0.492966
18,10,0.493834
18,11,0.544847
18,12,0.520560
18,13,0.522955
18,14,0.535952
18,15,0.517063
19,1,0.447198
19,2,0.463334
19,3,0.493959
19,4,0.535561
19,5,0.426354
19,6,0.472378
19,7,0.547988
19,8,0.480650
19,9,0.507979
19,10,0.524679
19,11,0.451739
19,12,0.454104
19,13,0.541758
19,14,0.552379
19,15,0.434589
20,1,0.547988
20,2,0.532282
20,3,0.489537
20,4,0.534090
20,5,0.434589
20,6,0.525421
20,7,0.545566
20,8,0.472434
20,9,0.489998
20,10,0.504737
20,11,0.454702
20,12,0.435417
20,13,0.333176
20,14,0.517377
20,15,0.460860
21,1,0.476119
21,2,0.533880
21,3,0.520100
21,4,0.457979
21,5,0.451364
21,6,0.467165
21,7,0.485290
21,8,0.495535
21,9,0.574110
21,10,0.535561
21,11,0.488893
21,12,0.532282
21,13,0.510891
21,14,0.505408
21,15,0.397650
22,1,0.458718
22,2,0.505465
22,3,0.513767
22,4,0.481201
22,5,0.481027
22,6,0.485880
22,7,0.532685
22,8,0.457103
22,9,0.457702
22,10,0.525831
22,11,0.486493
22,12,0.464451
22,13,0.537930
22,14,0.542827
22,15,0.498659
23,1,0.533334
23,2,0.338426
23,3,0.484933
23,4,0.498310
23,5,0.481924
23,6,0.217294
23,7,0.479897
23,8,0.458598
23,9,0.455636
23,10,0.493297
23,11,0.434589
23,12,0.489263
23,13,0.501399
23,14,0.498901
23,15,0.489409
24,1,0.486043
24,2,0.574110
24,3,0.516911
24,4,0.485880
24,5,0.559623
24,6,0.480650
24,7,0.582009
24,8,0.480839
24,9,0.512390
24,10,0.476432
24,11,0.441839
24,12,0.481589
24,13,0.500499
24,14,0.455050
24,15,0.502012
25,1,0.552662
25,2,0.537459
25,3,0.541226
25,4,0.474110
25,5,0.489298
25,6,0.480839
25,7,0.547988
25,8,0.217795
25,9,0.419837
25,10,0.506369
25,11,0.500261
25,12,0.506272
25,13,0.541212
25,14,0.435590
25,15,0.440175
26,1,0.405085
26,2,0.480839
26,3,0.534946
26,4,0.529871
26,5,0.495783
26,6,0.519583
26,7,0.574110
26,8,0.529404
26,9,0.466549
26,10,0.481414
26,11,0.523751
26,12,0.506117
26,13,0.507575
26,14,0.523449
26,15,0.356343
27,1,0.447241
27,2,0.480498
27,3,0.510400
27,4,0.445859
27,5,0.411744
27,6,0.497469
27,7,0.520873
27,8,0.519276
27,9,0.445859
27,10,0.491357
27,11,0.518629
27,12,0.435590
27,13,0.448507
27,14,0.492320
27,15,0.468327
28,1,0.486128
28,2,0.532880
28,3,0.434589
28,4,0.541848
28,5,0.536737
28,6,0.490229
28,7,0.553196
28,8,0.254376
28,9,0.000000
28,10,0.531210
28,11,0.464246
28,12,0.547988
28,13,0.524928
28,14,0.355810
28,15,0.452707
29,1,0.513402
29,2,0.520791
29,3,0.480650
29,4,0.488311
29,5,0.522955
29,6,0.449943
29,7,0.467794
29,8,0.531300
29,9,0.504352
29,10,0.486446
29,11,0.456284
29,12,0.498833
29,13,0.467425
29,14,0.538357
29,15,0.471671
30,1,0.564999
30,2,0.488311
30,3,0.457081
30,4,0.452010
30,5,0.524886
30,6,0.451569
30,7,0.432130
30,8,0.492503
30,9,0.333698
30,10,0.535561
30,11,0.489380
30,12,0.464190
30,13,0.519178
30,14,0.509894
30,15,0.523337
31,1,0.521022
31,2,0.574110
31,3,0.574110
31,4,0.470584
31,5,0.530367
31,6,0.541848
31,7,0.504123
31,8,0.217294
31,9,0.504735
31,10,0.458100
31,11,0.499558
31,12,0.461055
31,13,0.315997
31,14,0.481434
31,15,0.508421
32,1,0.465567
32,2,0.446467
32,3,0.480245
32,4,0.517789
32,5,0.457620
32,6,0.479896
32,7,0.579136
32,8,0.520477
32,9,0.523868
32,10,0.497922
32,11,0.520477
32,12,0.533704
32,13,0.434589
32,14,0.473956
32,15,0.534946
33,1,0.450901
33,2,0.477477
33,3,0.576623
33,4,0.481802
33,5,0.553205
33,6,0.547988
33,7,0.475296
33,8,0.502593
33,9,0.514901
33,10,0.508160
33,11,0.544948
33,12,0.490357
33,13,0.434589
33,14,0.279891
33,15,0.470819
34,1,0.469195
34,2,0.499137
34,3,0.459350
34,4,0.481695
34,5,0.456512
34,6,0.523324
34,7,0.538220
34,8,0.522097
34,9,0.540846
34,10,0.464928
34,11,0.497469
34,12,0.523751
34,13,0.493228
34,14,0.471729
34,15,0.516905
35,1,0.439418
35,2,0.566955
35,3,0.544888
35,4,0.455854
35,5,0.500406
35,6,0.447198
35,7,0.471861
35,8,0.486625
35,9,0.434589
35,10,0.434589
35,11,0.453644
35,12,0.465280
35,13,0.479236
35,14,0.451569
35,15,0.441191
36,1,0.477845
36,2,0.314447
36,3,0.447546
36,4,0.246251
36,5,0.444352
36,6,0.458564
36,7,0.480839
36,8,0.434589
36,9,0.506369
36,10,0.397650
36,11,0.529648
36,12,0.525333
36,13,0.533704
36,14,0.574110
36,15,0.540846
37,1,0.464966
37,2,0.467425
37,3,0.468894
37,4,0.442436
37,5,0.458048
37,6,0.370418
37,7,0.451807
37,8,0.483847
37,9,0.493637
37,10,0.434589
37,11,0.467807
37,12,0.334611
37,13,0.411744
37,14,0.467179
37,15,0.467425
38,1,0.574110
38,2,0.496575
38,3,0.437005
38,4,0.448221
38,5,0.202543
38,6,0.513768
38,7,0.481201
38,8,0.492367
38,9,0.217294
38,10,0.453644
38,11,0.483348
38,12,0.483527
38,13,0.479160
38,14,0.472585
38,15,0.457538
39,1,0.503225
39,2,0.498355
39,3,0.435089
39,4,0.476833
39,5,0.290060
39,6,0.452355
39,7,0.454267
39,8,0.531474
39,9,0.494081
39,10,0.549865
39,11,0.449876
39,12,0.476168
39,13,0.499687
39,14,0.497388
39,15,0.459927
40,1,0.405085
40,2,0.478606
40,3,0.535723
40,4,0.465176
40,5,0.453805
40,6,0.473996
40,7,0.535113
40,8,0.497026
40,9,0.548411
40,10,0.461055
40,11,0.513402
40,12,0.501733
40,13,0.498445
40,14,0.543947
40,15,0.554100
41,1,0.538661
41,2,0.533443
41,3,0.536961
41,4,0.542640
41,5,0.531294
41,6,0.492027
41,7,0.520001
41,8,0.435590
41,9,0.540239
41,10,0.491894
41,11,0.455982
