policy,component,mean_ms
SafeTail-2.0 (het),computation,8.671377029138084
MinLoad-1,computation,9.848778781498337
MinLoad-2,computation,8.907016844393127
MinLoad-3,computation,8.446653671126809
MinProp-1,computation,8.41713468722407
MinProp-2,computation,8.39644528968281
MinProp-3,computation,8.285462201996875
Rand-1,computation,9.182895333831421
Rand-2,computation,8.875749303810366
Rand-3,computation,8.642428105684981
Oracle,computation,8.396279630510085
SafeTail-2.0 (het),propagation,15.568990694831216
MinLoad-1,propagation,35.663855871765264
MinLoad-2,propagation,17.94863139305848
MinLoad-3,propagation,8.480170481559467
MinProp-1,propagation,6.950006792094002
MinProp-2,propagation,6.019887251239557
MinProp-3,propagation,6.328441893635808
Rand-1,propagation,43.71885485295116
Rand-2,propagation,21.435094749711332
Rand-3,propagation,12.038005161991443
Oracle,propagation,5.799606058547849
SafeTail-2.0 (het),transmission,20.19679413163078
MinLoad-1,transmission,20.251864429803703
MinLoad-2,transmission,20.22507641105753
MinLoad-3,transmission,20.16002173470081
MinProp-1,transmission,20.229885213611354
MinProp-2,transmission,20.135155878557356
MinProp-3,transmission,20.152638728520003
Rand-1,transmission,20.25858181077226
Rand-2,transmission,20.208211641649118
Rand-3,transmission,20.195639475650342
Oracle,transmission,20.115798410650005
SafeTail-2.0 (het),queueing,67.73294142729063
MinLoad-1,queueing,40.50581071113224
MinLoad-2,queueing,44.61215957583373
MinLoad-3,queueing,47.34642727215921
MinProp-1,queueing,39.927213309244046
MinProp-2,queueing,44.38441233675202
MinProp-3,queueing,47.609167307206405
Rand-1,queueing,40.842667822250895
Rand-2,queueing,43.992330757318484
Rand-3,queueing,50.504065122461455
Oracle,queueing,48.62510284086124
