request_id,request_type,contention_str,computation_delay,propagation_delay,transmission_delay,queueing_delay,total_latency,message_size_kb,end_to_end_latency
0,p,p,0.004020,0.011400,0.018500,57.070068,33.920020,19.0,90.990088
1,p,p,0.004020,0.027850,0.018500,84.092773,50.370020,22.0,134.462793
2,s,s,0.023128,0.005150,0.020000,105.097412,48.278351,48.0,153.375763
3,s,s,0.023128,0.006050,0.020000,116.104492,49.178351,34.0,165.282843
4,s,ss,0.018821,0.005350,0.022000,133.149414,46.170769,64.0,179.320183
5,p,pss,0.004434,0.004800,0.018500,21.761475,27.734040,14.0,49.495515
6,d,dp,0.002465,0.004900,0.021500,42.940674,28.864527,11.0,71.805201
7,p,pd,0.004022,0.005150,0.018500,63.458740,27.671770,9.0,91.130510
8,s,sp,0.018754,0.018350,0.022000,85.526367,59.103690,27.0,144.630058
9,s,s,0.023128,0.004200,0.020000,98.914307,47.328351,55.0,146.242658
10,s,spdp,0.017821,0.050300,0.019200,7.676025,87.320882,54.0,94.996907
11,s,ss,0.018821,0.007100,0.020000,17.680908,45.920769,28.0,63.601677
12,s,ss,0.018821,0.040750,0.022000,29.679443,81.570769,61.0,111.250212
13,s,sssd,0.017999,0.084550,0.022000,40.768311,124.548568,46.0,165.316879
14,s,ssssd,0.018460,0.044550,0.018500,50.288086,81.509739,62.0,131.797825
15,p,p,0.004020,0.080700,0.020000,20.672119,104.720020,5.0,125.392139
16,d,d,0.002386,0.003950,0.022000,38.354736,28.336326,12.0,66.691062
17,s,s,0.023128,0.014600,0.021500,51.873535,59.228351,31.0,111.101886
18,p,p,0.004020,0.005750,0.018500,81.955566,28.270020,15.0,110.225586
19,d,dp,0.002465,0.062800,0.018500,105.979980,83.764527,13.0,189.744508
20,s,s,0.023128,0.005850,0.020000,10.000000,48.978351,23.0,58.978351
21,d,ds,0.002343,0.003850,0.020000,24.002686,26.192696,24.0,50.195381
22,s,sds,0.018566,0.004450,0.022000,35.518799,45.016086,35.0,80.534885
23,p,ps,0.004022,0.005800,0.018500,59.018799,28.321770,9.0,87.340569
24,s,sp,0.018754,0.010550,0.021500,87.909424,50.803690,46.0,138.713114
25,s,ssp,0.018787,0.007850,0.021500,10.076660,48.137195,35.0,58.213855
26,s,s,0.023128,0.005000,0.018500,24.588623,46.628351,49.0,71.216974
27,d,dss,0.002842,0.036100,0.022000,41.425049,60.941765,6.0,102.366814
28,p,ps,0.004022,0.122000,0.019200,65.929932,145.221770,16.0,211.151702
29,p,pp,0.004022,0.057000,0.020000,95.965088,81.021770,13.0,176.986858
30,s,spp,0.018537,0.027900,0.020000,7.734863,66.437181,55.0,74.172044
31,s,sspp,0.017993,0.043150,0.022000,19.742920,83.143200,22.0,102.886120
32,s,s,0.023128,0.021000,0.018500,30.233887,62.628351,45.0,92.862238
33,p,pssp,0.004434,0.051400,0.022000,53.385986,77.834040,15.0,131.220026
34,d,d,0.002386,0.004750,0.021500,67.392090,28.636326,8.0,96.028416
35,p,pd,0.004022,0.005000,0.020000,20.035400,29.021770,21.0,49.057170
36,d,dp,0.002465,0.004750,0.018500,38.356934,25.714527,17.0,64.071461
37,p,pd,0.004022,0.005000,0.018500,58.950195,27.521770,16.0,86.471965
38,d,dpdp,0.002698,0.022500,0.020000,80.464600,45.198476,22.0,125.663075
39,s,sp,0.018754,0.060200,0.018500,90.475342,97.453690,17.0,187.929032
