episode,episodic_reward
0,4.146626
1,4.206822
2,4.024320
3,4.055571
4,4.427602
5,4.148394
6,4.065537
7,4.198007
8,4.391022
9,4.150175
10,4.113089
11,4.090546
12,4.436894
13,4.269248
14,4.248492
15,3.974641
16,4.013471
17,4.341616
18,3.774297
19,4.084751
20,4.134846
21,4.390968
22,4.101517
23,4.100693
24,4.026286
25,4.194325
26,4.168256
27,4.020127
28,4.087160
29,4.148237
30,3.966172
31,4.155990
32,3.936328
33,4.064154
34,3.979042
35,4.115002
36,4.105674
37,4.078784
38,4.125920
39,4.470393
40,4.064451
41,4.263371
42,3.957243
43,4.040493
44,4.286556
45,4.295126
46,4.236232
47,4.154177
48,4.033209
49,3.845741
50,4.231248
51,4.078387
52,4.243861
53,4.093293
54,4.165280
55,4.150128
56,4.018399
57,4.226284
58,4.205046
59,4.114735
60,4.317444
61,4.183399
62,4.127787
63,4.064475
64,3.995659
65,4.214061
66,4.323127
67,4.118273
68,4.092168
69,4.326260
70,4.334026
71,4.060197
72,4.101838
73,4.355031
74,4.441375
75,4.035550
76,4.237244
77,3.957835
78,3.991613
79,4.243011
80,4.100348
81,4.279785
82,4.305208
83,4.283759
84,4.250488
85,3.821647
86,4.287989
87,4.504856
88,4.234292
89,3.994008
90,4.121825
91,4.271000
92,4.125305
93,4.099168
94,4.029053
95,4.228681
96,4.032970
97,4.029189
98,4.111473
99,4.177288
100,4.183924
101,4.046174
102,4.037059
103,4.181631
104,4.459654
105,4.230073
106,4.112467
107,3.813248
108,4.006609
109,4.009706
110,4.191668
111,4.186620
112,3.888296
113,4.336414
114,4.233538
115,3.923957
116,4.256514
117,4.094391
118,4.066892
119,4.136361
120,4.329817
121,4.092445
122,4.147464
123,4.057469
124,4.142625
125,4.092250
126,3.971357
127,4.147667
128,4.182598
129,4.069061
130,4.342099
131,4.198210
132,4.184004
133,4.026865
134,4.239157
135,4.197266
136,4.120981
137,3.859545
138,4.048748
139,4.269937
140,4.032219
141,4.308066
142,4.079434
143,4.279976
144,4.276456
145,4.271810
146,3.954170
147,4.088658
148,4.269887
149,4.065111
150,4.187921
151,4.115340
152,4.340171
153,4.352987
154,4.079851
155,4.083684
156,4.140583
157,4.188107
158,4.304519
159,3.922687
160,4.227487
161,3.919449
162,3.851838
163,3.927006
164,3.899374
165,4.152628
166,4.071732
167,3.773338
168,4.219946
169,4.358554
170,4.225326
171,4.051222
172,4.210999
173,4.156883
174,4.198895
175,4.081072
176,4.307944
177,3.783770
178,4.080240
179,4.106597
180,4.086620
181,3.855328
182,4.034104
183,4.196797
184,4.254764
185,3.927958
186,4.240802
187,3.933615
188,4.035528
189,4.247117
190,4.210202
191,4.125547
192,4.075516
193,4.100454
194,3.998301
195,4.332764
196,4.176301
197,4.216545
198,4.021197
199,4.019796
200,4.381049
201,4.302638
202,4.297876
203,4.132536
204,4.298853
205,4.338368
206,4.285960
207,3.819342
208,4.242263
209,4.017088
210,4.255799
211,3.933011
212,4.136792
213,4.342901
214,3.938244
215,3.923096
216,4.093385
217,3.993473
218,4.130252
219,4.199481
220,4.329199
221,4.256233
222,4.102391
223,4.446047
224,4.239022
225,4.047572
226,4.342394
227,4.326210
228,4.169930
229,4.039782
230,4.055191
231,4.036152
