episode,episodic_reward
0,3.964791
1,4.183543
2,4.039124
3,4.175744
4,4.010083
5,4.093196
6,4.433193
7,4.218483
8,4.143102
9,4.032865
10,4.022813
11,3.966180
12,4.259122
13,4.100198
14,4.183931
15,4.328620
16,4.110138
17,4.272491
18,4.227609
19,4.012055
20,4.411812
21,4.120792
22,4.264270
23,4.167852
24,4.121129
25,3.863180
26,4.371404
27,4.318523
28,4.145990
29,4.208082
30,4.072529
31,3.985814
32,4.222537
33,4.103646
34,4.416380
35,3.694644
36,4.520814
37,4.264829
38,4.137254
39,4.332780
40,3.916036
41,4.177175
42,4.111481
43,4.241982
44,4.432035
45,4.242264
46,3.913272
47,3.810530
48,4.357398
49,4.000017
50,4.263282
51,4.205288
52,4.244340
53,3.803589
54,4.317977
55,4.010354
56,4.084519
57,4.231443
58,4.055037
59,4.321279
60,4.228249
61,3.962939
62,4.233440
63,4.157272
64,3.824964
65,4.284430
66,4.101295
67,4.126130
68,4.394598
69,3.816955
70,4.378355
71,4.141367
72,4.293853
73,4.311030
74,3.928477
75,3.554451
76,4.042188
77,4.203246
78,4.126708
79,4.277210
80,3.931594
81,4.132778
82,4.386693
83,4.291572
84,3.516536
85,4.037939
86,3.980998
87,4.405803
88,4.233347
89,4.083985
90,4.325238
91,3.393655
92,4.258103
93,4.275626
94,4.154500
95,4.175841
96,4.122421
97,4.151631
98,4.070026
99,3.695275
100,4.321488
101,4.096949
102,4.333505
103,4.248646
104,4.308559
105,4.321392
106,3.789866
107,4.116862
108,4.337104
109,4.134022
110,4.477963
111,4.246297
112,4.052161
113,3.709762
114,4.119910
115,4.205736
116,4.171840
117,4.371736
118,4.275417
119,4.097172
120,4.359256
121,4.175875
122,4.172693
123,3.857213
124,4.175084
125,4.149679
126,4.031060
127,4.042749
128,3.706214
129,3.936656
130,4.179854
131,4.360421
132,4.191434
133,4.232101
134,4.137834
135,4.203718
136,4.196074
137,4.426395
138,4.366859
139,4.210844
140,4.173379
141,4.117608
142,3.814636
143,4.167459
144,3.982807
145,4.022424
146,4.015525
147,4.217803
148,3.986183
149,4.150209
150,3.880787
151,4.195607
152,4.224411
153,4.192888
154,4.035964
155,4.137320
156,4.584074
157,3.693620
158,4.041716
159,4.381102
160,4.117346
161,4.042332
162,4.103694
163,4.024104
164,4.093739
165,3.981854
166,4.090355
167,4.326685
168,3.696541
169,4.197154
170,4.057022
171,3.804208
172,4.475410
173,4.174945
174,4.078429
175,4.320606
176,4.341962
177,4.059294
178,4.346584
179,4.254734
180,4.224004
181,3.929108
182,4.156726
183,4.303045
184,4.257184
185,4.086876
186,4.226214
187,3.950352
188,4.215137
189,3.932946
190,4.298018
191,4.093966
192,4.160680
193,4.102340
194,4.268730
195,3.813051
196,4.245831
197,4.047878
198,4.364426
199,4.423483
200,4.305906
201,3.801805
202,4.117968
203,4.006245
204,3.946990
205,4.312356
206,4.446102
207,4.203407
208,4.400508
209,3.938617
210,3.866806
211,4.045399
212,4.229642
213,4.200589
214,4.104360
215,4.193258
216,4.043603
217,4.086443
218,4.166291
219,4.142203
220,4.250852
221,4.173973
222,4.177815
223,4.236625
224,4.149757
225,3.906898
226,4.107875
227,4.080538
228,4.004288
229,4.028017
230,4.156053
231,4.181077
232,4.300167
233,4.160647
234,3.813947
235,4.226726
236,3.968157
237,4.366902
238,4.128400
239,4.252000
240,4.183170
241,3.579785
242,4.134674
243,4.041777
244,4.004702
245,4.317366
246,4.055190
247,4.184779
248,4.137916
249,4.378163
250,4.322462
251,4.188711
252,3.898108
253,4.027008
254,4.083338
255,4.291699
256,4.080095
257,4.252387
258,4.198659
259,4.027413
260,4.379405
261,4.135494
262,3.829164
263,4.047146
264,4.227977
265,3.987369
266,4.013844
267,4.140789
268,4.146490
269,4.037605
270,4.180212
271,4.173197
272,4.022226
273,3.952550
274,4.107819
275,4.137502
276,4.021031
277,3.947346
278,4.193858
279,3.984119
280,4.333497
281,4.033613
282,4.217269
283,3.922840
284,3.820304
285,3.443707
286,3.663846
287,4.036976
288,3.792948
289,3.958606
290,4.086004
291,3.816743
292,3.902211
293,3.866437
294,3.840398
295,4.013296
296,3.767728
297,4.171166
298,4.148218
299,4.245860
300,4.109255
301,3.945958
302,4.028748
303,4.254432
304,4.166518
305,3.988934
306,4.093366
307,4.047659
308,4.107184
309,3.895741
310,4.123688
311,4.181754
312,4.247363
313,4.017236
314,3.957611
315,4.209717
316,4.152059
317,3.924528
318,3.330326
319,4.178525
320,4.317305
321,4.168551
322,4.345745
323,3.469460
324,4.077295
325,3.875887
326,4.125733
327,4.175661
328,4.044655
329,4.146888
330,4.015963
331,4.055255
332,4.062714
333,4.227591
334,4.140067
335,4.210941
336,4.126058
337,3.910331
338,3.724918
339,3.931942
340,3.902172
341,4.066828
342,4.068737
343,3.829869
344,3.851421
345,3.915479
346,3.949749
347,4.185380
348,3.854555
349,3.960226
350,4.149693
351,4.284521
352,3.877675
353,3.985976
354,4.044412
355,3.767052
356,4.115127
357,4.161523
358,4.089047
359,4.113795
360,3.912898
361,4.198399
362,3.971303
363,4.154518
364,4.314023
365,4.093666
366,4.248516
367,3.984167
368,4.074447
369,4.042753
370,4.086956
371,4.253314
372,4.147933
373,3.999828
374,4.064727
375,3.925380
376,3.861152
377,4.105391
378,4.074427
379,4.161958
380,4.041968
381,4.136354
382,4.032414
383,4.076511
384,4.236547
385,4.286908
386,4.032287
387,3.818140
388,4.146219
389,3.999386
390,4.147684
391,4.157353
392,3.881415
393,3.979316
394,3.734756
395,4.008990
396,4.139550
397,3.732632
398,4.106640
399,4.132255
400,4.052926
401,4.152160
402,3.579893
403,4.188277
404,4.036068
405,4.191242
406,3.913267
407,4.077654
408,4.075741
409,4.045648
410,4.114530
411,3.900072
412,4.112645
413,4.229624
414,4.126901
415,4.267800
416,4.120691
417,4.003230
418,4.106622
419,4.094982
420,4.136609
421,4.024366
422,3.979418
423,3.905257
424,4.142161
425,4.047595
426,4.194832
427,4.148102
428,3.962894
429,4.026202
430,4.190794
431,3.810079
432,4.065367
433,4.033472
434,4.100910
435,4.300742
436,4.062990
437,4.211312
438,4.201246
439,4.253459
440,3.736889
441,4.258545
442,4.135602
443,4.238246
444,4.107104
445,3.935410
446,4.142017
447,4.022817
448,4.189840
449,4.211720
450,4.125133
451,4.028744
452,4.059539
453,4.196716
454,3.944100
455,3.988611
456,4.127560
457,4.047183
458,4.020132
459,4.179182
460,4.305910
461,4.132385
462,4.061127
463,4.140669
464,4.035216
465,4.160242
466,3.917058
467,4.096854
468,4.093643
469,4.015473
470,4.142349
471,4.055041
472,3.920330
473,3.933087
474,4.009424
475,4.035944
476,4.087630
477,4.095520
478,4.111237
479,4.297329
480,4.083479
481,4.315544
482,4.028371
483,4.058246
484,4.191392
485,3.909523
486,4.044942
487,4.174612
488,3.933138
489,4.149011
490,4.044980
491,3.963796
492,4.211636
493,3.909570
494,4.102503
495,4.275890
496,3.854647
497,3.832747
498,4.158904
499,4.271822
500,3.954031
501,4.096315
502,3.982099
503,4.181731
504,3.963155
505,3.723163
506,3.918470
507,4.245436
508,4.143739
509,4.064168
510,4.256306
511,4.055913
512,4.217217
513,4.006807
514,4.385921
515,3.861708
516,4.025866
517,4.055062
518,4.172914
519,3.995353
520,4.267310
521,3.793593
522,4.307882
523,4.029835
524,4.143696
525,4.182450
526,4.141422
527,3.957070
528,3.986944
529,3.762866
530,4.106516
531,4.092664
532,4.229243
533,4.195901
534,4.105409
535,3.577061
536,4.132260
537,4.079997
538,3.974895
539,4.078859
540,4.100702
541,4.121851
542,4.092232
543,4.000464
544,4.329811
545,3.936532
546,4.380868
547,4.025059
548,4.112527
549,4.252839
550,4.093031
551,3.981667
552,4.132958
553,3.929574
554,4.017357
555,4.110156
556,4.111060
557,4.302228
558,4.223907
559,4.253639
560,3.988714
561,4.178564
562,4.356001
563,4.052629
564,4.220498
565,4.057867
566,4.085194
567,3.977042
568,4.051967
569,4.226989
570,3.996047
571,4.237011
572,4.150744
573,3.689934
574,4.072471
575,4.127502
576,3.778995
577,4.073246
578,4.337932
579,4.156853
580,4.103121
581,4.305752
582,4.004514
583,4.280565
584,4.253898
585,4.152216
586,3.781292
587,3.744065
588,4.221875
589,4.208378
590,4.145656
591,4.226451
592,3.871681
593,4.223859
594,4.305910
595,3.852629
596,3.800266
597,4.004859
598,4.132977
599,4.045294
600,4.150061
601,4.108184
602,3.830469
603,4.120991
604,4.085366
605,4.227058
606,4.141398
607,4.255523
608,4.279884
609,4.043436
610,3.866873
611,4.176619
612,4.109524
613,4.019101
614,3.990227
615,4.185805
616,4.021115
617,4.096983
618,4.020531
619,3.997409
620,4.120254
621,4.253177
622,4.192704
623,4.194179
624,4.206304
625,4.172135
626,4.063424
627,3.821839
628,4.277811
629,4.123763
630,4.027528
631,4.188628
632,4.094635
633,3.794991
634,4.244210
635,4.093846
636,4.024191
637,3.969496
638,4.017983
639,4.094734
640,4.179592
641,3.876632
642,4.271695
643,4.343450
644,4.035955
645,4.077431
646,3.941657
647,4.175526
648,4.258370
649,4.284567
650,4.168502
651,4.150242
652,3.993293
653,4.124238
654,4.159855
655,4.020484
656,4.267780
657,4.065047
658,4.203413
659,3.861740
660,3.978958
661,4.198951
662,4.119853
663,3.944623
664,4.057027
665,4.237952
666,3.936807
667,4.059610
668,4.266916
669,3.893918
670,4.015682
671,3.988720
672,4.178216
673,4.089635
674,4.051693
675,4.222097
676,4.189460
677,4.052310
678,4.199880
679,4.150047
680,4.024324
681,4.132264
682,3.943600
683,4.202392
684,4.211013
685,3.906288
686,3.995550
687,4.327190
688,3.795865
689,3.696675
690,4.285117
691,4.102346
692,4.080224
693,4.225085
694,4.012192
695,4.147624
696,4.146243
697,4.064434
698,4.065397
699,3.979310
700,4.391644
701,4.198601
702,4.040557
703,4.189844
704,4.043850
705,4.233895
706,4.224333
707,4.039066
708,4.079588
709,4.184552
710,4.146887
711,4.201560
712,4.236972
713,4.053060
714,4.228159
715,4.245897
716,4.023691
717,4.188580
718,3.919991
719,4.151771
720,4.004655
721,4.221662
722,4.040099
723,4.223534
724,4.156002
725,4.077274
726,4.080634
727,4.064780
728,4.187439
729,3.901326
730,3.997021
731,4.108655
732,4.143199
733,3.876542
734,4.048441
735,4.192071
736,4.080429
737,4.073913
738,4.016431
739,4.003413
740,3.868757
741,3.730769
742,3.848394
743,4.191301
744,3.852749
745,4.084604
746,3.959592
747,4.150576
748,4.169336
749,4.002430
750,3.887566
751,4.034244
752,3.822376
753,4.173823
754,3.957257
755,4.203873
756,4.227634
757,3.624601
758,4.199215
759,3.735707
760,4.184751
761,3.942270
762,4.034464
763,4.176861
764,3.923720
765,4.249872
766,4.198097
767,4.089374
768,4.125475
769,4.146983
770,3.796135
771,4.067643
772,4.203751
773,3.984372
774,4.008109
775,4.155722
776,4.172918
777,3.979442
778,4.125157
779,4.103763
780,4.147768
781,3.951882
782,4.079358
783,4.037644
784,4.040296
785,3.981228
786,3.938273
787,3.561297
788,4.224203
789,4.268014
790,4.137801
791,4.081894
792,3.900662
793,4.088466
794,4.061974
795,4.154344
796,3.922029
797,4.089093
798,3.996737
799,4.127935
800,4.193119
801,4.217524
802,4.067737
803,4.184884
804,3.969884
805,4.216158
806,4.204730
807,4.083405
808,4.159606
809,4.075935
810,4.112924
811,4.070273
812,3.718633
813,4.091186
814,4.089316
815,4.181397
816,3.826905
817,4.280696
818,4.149636
819,4.103900
820,4.213696
821,4.034803
822,4.057259
823,4.101826
824,4.157030
825,4.303955
826,4.181118
827,4.142367
828,3.967777
829,3.941606
830,4.185966
831,4.107584
832,4.028377
833,4.065275
834,3.984843
835,4.134186
836,4.146398
837,4.069677
838,4.215437
839,4.060604
840,4.205333
841,4.106385
842,3.815420
843,4.015982
844,3.831631
845,4.079001
846,4.201619
847,4.181784
848,4.067989
849,4.090529
850,4.169832
851,3.952984
852,4.191640
853,4.073944
854,4.001960
855,4.141036
856,4.222104
857,4.117266
858,4.044483
859,4.348135
860,4.117136
861,4.217601
862,4.219609
863,4.190608
864,4.097025
865,3.984926
866,4.103078
867,4.046404
868,3.977448
869,4.223005
870,4.231542
871,4.129048
872,3.861989
873,4.143296
874,4.106454
875,4.164523
876,4.067690
877,4.174861
878,4.161001
879,4.100831
880,4.152970
881,4.220136
882,3.950140
883,4.231024
884,4.143158
885,4.162013
886,4.120868
887,4.125914
888,3.906633
889,4.191827
890,4.158891
891,4.156396
892,4.076318
893,4.274353
894,4.224411
895,4.155584
896,4.023791
897,3.844242
898,4.136513
899,4.045799
900,4.343785
901,4.151196
902,4.189313
903,4.223404
904,4.039715
905,4.117970
906,4.115594
907,4.028995
908,4.400980
909,4.235129
910,4.009285
911,4.165398
912,4.242583
913,4.105304
914,4.024906
915,3.862712
916,3.925465
917,4.222911
918,4.112141
919,4.113654
920,3.906786
921,4.192864
922,4.240929
923,4.104527
924,4.098854
925,4.169786
926,3.988185
927,4.147212
928,4.118244
929,3.907812
930,4.149530
931,4.215788
932,4.101390
933,4.259560
934,4.315992
935,4.119728
936,4.079495
937,4.154356
938,3.997675
939,3.708087
940,4.030992
941,3.969229
942,3.996099
943,3.831861
944,4.248726
945,4.163835
946,4.073644
947,3.952276
948,4.103352
949,4.071177
950,4.084948
951,4.047237
952,4.113819
953,4.015472
954,4.064826
955,3.975834
956,3.606475
957,4.028465
958,4.051311
959,4.167196
960,4.095402
961,4.201979
962,4.232209
963,4.116721
964,4.136284
965,3.936460
966,4.000273
967,4.195933
968,4.021822
969,3.971589
970,4.009382
971,4.132736
972,3.884949
973,3.986648
974,4.171935
975,4.136956
976,4.063601
977,3.953384
978,3.849378
979,3.820751
980,3.881718
981,4.054677
982,4.148070
983,4.107393
984,4.074641
985,4.135796
986,4.145903
987,4.144317
988,3.979706
989,4.175689
990,4.049099
991,4.037378
992,3.854302
993,3.773947
994,4.218888
995,3.871887
996,3.825932
997,4.183495
998,4.143252
999,4.146091
1000,4.103907
1001,3.919051
1002,3.877743
1003,3.578997
1004,4.046043
1005,3.943298
1006,3.990150
1007,3.874501
1008,4.025632
1009,3.974938
1010,4.189253
1011,3.702370
1012,3.819653
1013,4.115888
1014,4.120446
1015,4.036971
1016,4.005949
1017,4.076993
1018,3.723493
1019,4.101509
1020,3.885988
1021,3.922386
1022,4.078659
1023,4.185498
1024,4.114029
1025,4.065874
1026,4.066445
1027,3.881904
1028,3.877769
1029,4.168473
1030,3.819980
1031,4.121491
1032,4.122173
1033,4.015595
1034,3.848054
1035,3.882750
1036,4.061378
1037,4.120309
1038,4.086428
1039,4.080932
1040,3.989375
1041,3.867249
1042,3.851302
1043,4.008801
1044,4.010908
1045,4.205048
1046,3.782817
1047,3.944389
1048,4.005121
1049,4.053805
1050,4.062676
1051,4.193469
1052,4.131163
1053,4.058981
1054,4.126673
1055,3.814681
1056,4.313928
1057,4.175621
1058,3.932135
1059,4.051427
1060,4.071334
1061,3.965347
1062,3.960219
1063,3.985457
1064,3.750582
1065,3.957255
1066,4.038107
1067,3.713186
1068,4.026964
1069,4.178285
1070,3.753276
1071,4.181554
1072,4.155968
1073,3.799443
1074,4.134377
1075,3.977116
1076,3.806441
1077,4.095297
1078,4.080733
1079,4.122065
1080,3.801283
1081,4.063162
1082,4.042136
1083,4.050864
1084,4.068521
1085,4.139207
1086,4.051526
1087,4.131309
1088,3.594003
1089,4.174347
1090,3.841213
1091,4.143163
1092,3.668816
1093,4.169231
1094,3.591845
1095,4.227945
1096,4.220279
1097,4.133984
1098,4.002086
1099,4.244845
1100,4.244893
1101,3.929860
1102,3.647552
1103,4.069943
1104,4.159492
1105,4.188010
1106,4.266858
1107,4.165550
1108,4.039403
1109,3.865822
1110,3.962398
1111,4.005849
1112,3.962158
1113,3.888642
1114,4.073249
1115,4.195302
1116,4.191527
1117,4.150158
1118,4.040721
1119,4.190522
1120,4.009381
1121,4.188546
1122,4.051051
1123,3.826636
1124,4.044297
1125,4.187385
1126,3.696354
1127,4.086054
1128,3.843302
1129,4.152408
1130,3.958517
1131,4.181710
1132,3.861136
1133,4.234926
1134,4.253162
1135,4.236430
1136,4.209618
1137,4.212281
1138,3.909806
1139,4.001752
1140,4.141884
1141,4.119111
1142,4.027047
1143,3.820541
1144,4.158743
1145,4.019226
1146,3.811827
1147,4.108304
1148,4.004466
1149,4.043474
1150,4.090485
1151,3.835444
1152,4.010192
1153,4.039115
1154,4.127295
1155,3.892324
1156,4.244482
1157,4.073564
1158,4.147242
1159,4.308170
1160,4.025850
1161,4.220453
1162,4.288541
1163,4.211072
1164,4.003322
1165,4.264830
1166,4.136779
1167,4.113397
1168,4.223588
1169,4.165371
1170,4.192514
1171,4.173319
1172,4.045910
1173,4.078934
1174,4.213142
1175,4.180145
1176,4.275885
1177,4.104916
1178,4.134656
1179,4.252247
1180,4.138769
1181,4.004954
1182,4.108857
1183,4.128464
1184,4.168068
